MTD	mzTab-version	1.0
MTD	mzTab-mode	Summary
MTD	mzTab-type	Quantification
MTD	description	Aligned peak list-TGdd
MTD	software[1]	[MS, MS:1002342, MZmine, 2.38]
MTD	smallmolecule_search_engine_score[1]	[MS, MS:1001153, search engine specific score, ]
MTD	fixed_mod[1]	[MS, MS:1002453, No fixed modifications searched, ]
MTD	variable_mod[1]	[MS, MS:1002454, No variable modifications searched, ]
MTD	small_molecule-quantification_unit	[PRIDE, PRIDE:0000330, Arbitrary quantification unit, ]
MTD	ms_run[1]-location	file:/QE2_sbs_11_2[blank].mzXML
MTD	ms_run[2]-location	file:/QE2_sbs_11_18[pooled_qc].mzXML
MTD	ms_run[3]-location	file:/QE2_sbs_11_17[neat_qc].mzXML
MTD	ms_run[4]-location	file:/QE2_sbs_11_1[blank].mzXML
MTD	assay[1]-ms_run_ref	ms_run[1]
MTD	assay[2]-ms_run_ref	ms_run[2]
MTD	assay[3]-ms_run_ref	ms_run[3]
MTD	assay[4]-ms_run_ref	ms_run[4]

SMH	identifier	chemical_formula	smiles	inchi_key	description	exp_mass_to_charge	calc_mass_to_charge	charge	retention_time	taxid	species	database	database_version	uri	spectra_ref	search_engine	best_search_engine_score[1]	modifications	smallmolecule_abundance_assay[1]	opt_assay[1]_peak_mz	opt_assay[1]_peak_rt	opt_assay[1]_peak_height	smallmolecule_abundance_assay[2]	opt_assay[2]_peak_mz	opt_assay[2]_peak_rt	opt_assay[2]_peak_height	smallmolecule_abundance_assay[3]	opt_assay[3]_peak_mz	opt_assay[3]_peak_rt	opt_assay[3]_peak_height	smallmolecule_abundance_assay[4]	opt_assay[4]_peak_mz	opt_assay[4]_peak_rt	opt_assay[4]_peak_height
SML	null	null	null	null	null	81.52106094360352	null	null	16.899166666666666	null	null	null	null	null	null	null	null	null	4.670194981250085E7	81.52106857299805	16.964166666666667	4628952.0	null	null	null	null	null	null	null	null	3.357461812000025E7	81.52105331420898	16.834166666666665	3253107.75
SML	null	null	null	null	null	81.52130889892578	null	null	0.09260416666666665	null	null	null	null	null	null	null	null	null	3883068.9185625003	81.52128601074219	0.09346666666666666	5551257.0	5464556.655749997	81.52127838134766	0.09386666666666667	6811763.5	5119206.464749997	81.52130126953125	0.09391666666666666	5321352.0	5570966.522999998	81.52136993408203	0.08916666666666666	1.053611E7
SML	null	null	null	null	null	82.02275085449219	null	null	16.930416666666666	null	null	null	null	null	null	null	null	null	2134068.37281252	82.02278137207031	16.964166666666667	252702.5625	null	null	null	null	null	null	null	null	1617366.705585923	82.02272033691406	16.896666666666665	196995.5625
SML	null	null	null	null	null	82.02305030822754	null	null	0.09260416666666665	null	null	null	null	null	null	null	null	null	164999.1717363281	82.0230484008789	0.09346666666666666	264863.09375	269996.66062304674	82.0230484008789	0.09386666666666667	402980.53125	203563.050048828	82.02302551269531	0.09391666666666666	257542.203125	328837.53380273434	82.02307891845703	0.08916666666666666	674834.625
SML	null	null	null	null	null	82.02717844645183	null	null	0.3045333333333334	null	null	null	null	null	null	null	null	null	3789046.403414062	82.02716064453125	0.24795	381073.0	3239609.2952500004	82.02717590332031	0.3059833333333334	282419.21875	null	null	null	null	3076473.3557187505	82.0271987915039	0.35966666666666663	284915.0625
SML	null	null	null	null	null	82.0489559173584	null	null	17.027458333333335	null	null	null	null	null	null	null	null	null	6260441.316249906	82.04894256591797	17.038666666666668	1201654.75	7588569.535468796	82.04895782470703	17.025333333333332	1460424.625	7821139.130312479	82.0489501953125	17.013333333333332	1595027.75	6147351.502499873	82.0489730834961	17.032500000000002	1344384.0
SML	null	null	null	null	null	82.04922993977864	null	null	17.4365	null	null	null	null	null	null	null	null	null	632493.1761328191	82.04920196533203	17.458166666666667	283835.78125	2674942.273037126	82.04924011230469	17.414499999999997	310602.84375	2526234.345937488	82.04924774169922	17.436833333333333	319055.0625	null	null	null	null
SML	null	null	null	null	null	82.04900646209717	null	null	0.06259166666666667	null	null	null	null	null	null	null	null	null	186369.9764677735	82.04901123046875	0.07568333333333334	218368.546875	42300.3390883789	82.04887008666992	0.029050000000000003	15143.912109375	37679.76228320313	82.04888153076172	0.06331666666666666	16712.23046875	77886.4522946167	82.04926300048828	0.08231666666666666	74769.1875
SML	null	null	null	null	null	82.05332088470459	null	null	17.201125	null	null	null	null	null	null	null	null	null	3.287729952849998E8	82.05332946777344	17.174333333333333	4.8137276E7	3.305088625350012E8	82.05331802368164	17.245	3.8769196E7	2.9447294771500206E8	82.05331420898438	17.196	3.5718508E7	4.190398726775027E8	82.0533218383789	17.189166666666665	4.5031744E7
SML	null	null	null	null	null	82.05332946777344	null	null	17.447166666666664	null	null	null	null	null	null	null	null	null	1.3904280109000307E8	82.05332946777344	17.447166666666664	2.348931E7	null	null	null	null	null	null	null	null	null	null	null	null
