mz,rt,QE2_sbs_11_1.blank.,QE2_sbs_11_10.2S.,QE2_sbs_11_11.27NOC.,QE2_sbs_11_12.30NOC.,QE2_sbs_11_13.3S.,QE2_sbs_11_14.6S.,QE2_sbs_11_15.29NOC.,QE2_sbs_11_16.blank.,QE2_sbs_11_17.neat_qc.,QE2_sbs_11_18.pooled_qc.,QE2_sbs_11_19.16N.,QE2_sbs_11_2.blank.,QE2_sbs_11_20.11N.,QE2_sbs_11_21.1S.,QE2_sbs_11_22.26NOC.,QE2_sbs_11_23.28NOC.,QE2_sbs_11_24.17OC.,QE2_sbs_11_25.18OC.,QE2_sbs_11_26.23OC.,QE2_sbs_11_27.24OC.,QE2_sbs_11_28.12N.,QE2_sbs_11_29.blank.,QE2_sbs_11_3.blank.,QE2_sbs_11_30.neat_qc.,QE2_sbs_11_31.pooled_qc.,QE2_sbs_11_32.15N.,QE2_sbs_11_33.25NOC.,QE2_sbs_11_34.19OC.,QE2_sbs_11_35.22OC.,QE2_sbs_11_36.31NOC.,QE2_sbs_11_37.21OC.,QE2_sbs_11_38.8S.,QE2_sbs_11_39.20OC.,QE2_sbs_11_4.neat_qc.,QE2_sbs_11_40.13N.,QE2_sbs_11_41.32NOC.,QE2_sbs_11_42.blank.,QE2_sbs_11_43.neat_qc.,QE2_sbs_11_44.pooled_qc.,QE2_sbs_11_45.7S.,QE2_sbs_11_46.14N.,QE2_sbs_11_47.4Sddms2.,QE2_sbs_11_48.10Nddms2.,QE2_sbs_11_49.27NOCddms2.,QE2_sbs_11_5.pooled_qc._150123105329,QE2_sbs_11_5.pooled_qc.,QE2_sbs_11_50.17OCddms2.,QE2_sbs_11_6.4S.,QE2_sbs_11_7.10N.,QE2_sbs_11_8.9N.,QE2_sbs_11_9.5S.
79.0187039,0.587612629,93175677.83,157872545.4,194856299.4,165914035.5,161145314.9,183374741.5,166463117,151564838.3,136756537.2,131645866.9,192165798.6,0,214799574,170923135.2,181296005.8,194960802.9,263226616.9,215198385.7,205153673.5,184893281.6,205891545,0,148210632.1,145504552.8,210195184.7,205083583.2,216126734.9,223258070.3,200571242.3,235734227.2,200496526.3,229621821.4,201207442.5,138099762.9,206984243.5,201930041.6,0,153547948.8,235249544.1,215144343.3,226683887.3,246925964.5,257260408.6,224745669.8,126315552.5,209455731.9,295150712.6,151371329.1,168377039.2,180111141.8,174700213.7
72.03547775,0.598283024,821036.8816,1782153.244,2043310.023,1432558.507,1512161.502,1802351.431,1569420.281,1264338.398,1149036.706,1053419.55,1534993.57,0,1885267.35,1392971.097,1611922.502,1916913.83,2090072.014,1965649.19,1871278.653,1482695.554,1981945.773,1267136.233,1068997.541,1188352.102,1755575.081,1730403.518,1857787.087,2082977.036,1682648.8,2293578.043,1775777.515,2108507.248,1648463.455,1044965.494,1900277.749,1806529.531,1413742.739,0,1865568.144,2051936.073,1941751.477,1908090.484,1914994.48,2064246.866,2374616.535,1615778.772,2116442.875,1812921.558,1864210.787,2079457.827,1673746.391
143.9983442,0.59912109,0,64505657.41,65812440.21,62338746.89,58431226.27,63729610.55,60207231.16,0,0,0,69119589.41,0,70583501.71,58527773.07,62037346.86,65356808.53,89104229.65,71025550,70852263.36,62087251.77,70127449.95,0,0,55950628.82,72996999,66849675.25,72866787.81,71799305.7,64388353.18,71533550.25,64942296.89,73020080.82,65128266.78,0,67566450.33,66009734.69,0,0,73789796.4,72588084.91,69558072.54,77928030,84931384.01,68483922.54,107815669.7,73750543.39,93486661.02,62207268.38,63539238.32,75390033.95,64198047.88
88.02743136,0.60736,72173773.13,156210679.6,170227405.6,170568993.9,158532144.5,158294781.9,168984038.5,122952402,108687671.4,109143025,171101598.8,112593093.6,173026432.7,173498034,175712867.4,172168188.3,179678203.1,181568364.6,188358816.2,184926726.9,174703566.2,134594140,109324544.8,120497855.7,189741677.7,166752581.2,192851565.2,192647885.6,194894664.5,180707603.7,186479759.2,184259418.6,197267121.6,105114506.1,178147605.2,187507513.9,148133894,126603404.9,204622206.4,197334753.4,181295542.2,188150969.5,201695637.9,218611769.1,85837707.45,173832182.3,222409932.6,141069286,152104796.4,152247883.4,153275236.5
117.9949626,0.615103122,0,5309132.417,5366191.281,5513262.788,5691547.981,5382193.273,5708417.007,3335755.958,3616650.757,3314688.572,5959160.062,1821647.876,5468852.506,5629435.804,5269015.238,5289067.712,5102213.598,5560184.724,5508794.648,5652882.678,6054840.236,0,1945784.014,3001955.701,5578969.664,5773332.429,5426232.774,5957868.004,5638616.717,5905040.116,5705524.103,6012405.472,6135743.417,2189343.094,6090964.354,5900388.205,0,3296439.132,6613436.19,6232483.02,6651458.875,2489932.185,2339874.627,2301682.792,15418242.88,2102467.974,2483722.156,4990233.888,4900363.428,5090986.322,5353912.516
84.96150871,0.630506521,1744401.357,87328191.93,102030279.5,62822457.63,58340228.65,74712450.67,56545210.28,0,0,0,71915312.23,1571174.077,100582562.2,52458890.79,62517796.43,70835970.74,166168188.3,95865052.07,81923892.84,55868517.26,67486866.97,0,0,37259033.08,81242000.56,57320097.15,85487263.4,70408403.54,63511444.58,83408022.86,64087488.87,80681867.89,59391973.91,0,61056304.71,66604164.2,0,0,75627719.8,88193962.6,64150016.14,90840736.35,92940173.36,118822809.3,41887689.36,88753930.39,166343069,83713455.9,87844908.46,132885950.5,79187302.29
102.9779348,0.63395732,0,60341757.5,63889581.44,42993582.66,39582300.88,49597664.76,40842776.42,0,0,0,52058983.23,0,68118397.11,40036028.43,45198317.84,49354216.95,109021226.6,64763696.3,55884091.7,42757823.61,48130284.47,0,0,24671225.44,55713733.24,40581391.17,56867091.24,45301018.43,47700877.05,51918498.06,45309743.34,50597344.44,44932751.45,0,42462237.92,46995920.14,0,0,49039433.08,58003349.69,42906319.49,55972904.27,56301337.55,72904690.55,17273047.76,60994503.92,96934600.3,48970935.27,53762876.32,84246744.03,49355789.38
149.97978,0.642971787,2478891.665,11493813.61,11918388.64,11507977.39,11599268.44,11503934.4,11808876.19,0,0,0,12844927.34,0,12524881.25,13172930.91,12683403.47,11898336.31,11908994.62,12070272.33,12655656.71,12987792.42,12989258.33,0,0,7421670.761,13275041.64,13602775.66,12905441.48,13336054,12806382.06,13736867.04,57916040.87,13373574.6,13026852.07,0,13037008.32,12963319.98,0,0,14014578.36,13197775,13904799.36,12805311.52,12478655.27,14214237.26,16641857.32,12785848.33,12631860.62,11483170.78,11532690.65,11913468.6,11587462.83
200.9750812,0.646498076,0,23006010.92,22381095.01,26183307.12,26861598.57,26730777.63,26602225.99,0,0,0,24536986.74,0,25711514.29,26840520.44,25611723.94,24811630.85,20539018.84,25461865.84,24739252.2,26666710.61,22389496.71,0,0,5036021.646,25780374.06,21458126.75,21064655.86,21396916.2,28038111.29,21060395.7,21734255.55,22449327.86,26916105.51,0,24098586.61,27751139.15,0,0,24425873.23,26843542.55,22963064.57,23964586.23,25806056.16,22209876.22,48386804.27,33670193.23,20542160.66,23510021.71,25443963.67,22745969.77,25595630.19
146.1650071,0.64691499,0,363585196,384829967.4,628095452.1,484042250.9,462417524.3,737269992.3,0,0,0,471415675.7,0,435787543.5,547261158.6,701641112,562890363.4,122432060.3,437552117.1,616017763.5,776653912.7,441630929.7,0,0,521860.3045,576637685,440983063.1,555304306.5,411643959.4,718310597.7,389522529.6,526910274.7,400255568.7,742454565.2,0,477046813.4,702950570.1,0,0,532015232.8,479917968.2,468957640.1,423640994.8,462915247.3,388087936.3,464032241.5,855229636.4,121522771.6,412668923.8,472708868.8,321785151.9,399645104.9
